nct_id,minimum_age,maximum_age,gender
NCT02738632,19 Years,N/A,All
NCT02495324,19 Years,70 Years,All
NCT02200653,18 Years,N/A,All
NCT02200640,18 Years,N/A,All
NCT02269176,N/A,N/A,All
NCT02177500,18 Years,80 Years,All
NCT02242318,18 Years,N/A,All
NCT02183701,18 Years,N/A,All
NCT02177396,18 Years,N/A,All
NCT02177461,65 Years,N/A,All
NCT02177435,18 Years,80 Years,All
NCT02177409,18 Years,N/A,All
NCT02175355,35 Years,84 Years,All
NCT02172586,18 Years,N/A,All
NCT01975246,20 Years,100 Years,All
NCT01928628,20 Years,75 Years,All
NCT01876368,18 Years,N/A,All
NCT01838850,20 Years,75 Years,All
NCT01785472,18 Years,N/A,All
NCT01615198,65 Years,N/A,All
NCT01599104,20 Years,N/A,All
NCT01518855,20 Years,79 Years,All
NCT01508026,18 Years,N/A,All
NCT01368536,18 Years,N/A,All
NCT01237223,20 Years,N/A,All
NCT01167153,18 Years,65 Years,All
NCT01101009,40 Years,80 Years,All
NCT01075698,40 Years,79 Years,All
NCT01071122,20 Years,70 Years,All
NCT01042392,18 Years,N/A,All
NCT01033071,18 Years,N/A,All
NCT01001572,18 Years,85 Years,All
NCT00996281,18 Years,N/A,All
NCT00993109,18 Years,75 Years,All
NCT00957554,18 Years,N/A,All
NCT00956644,18 Years,N/A,All
NCT00949884,18 Years,N/A,All
NCT00942994,18 Years,N/A,All
NCT00931710,18 Years,N/A,All
NCT00927394,18 Years,N/A,All
NCT00926289,18 Years,N/A,All
NCT00923091,18 Years,N/A,All
NCT00902538,18 Years,N/A,All
NCT00902304,18 Years,N/A,All
NCT00877929,18 Years,N/A,All
NCT00872586,18 Years,75 Years,All
NCT00865020,18 Years,N/A,All
NCT00860262,18 Years,N/A,All
NCT00853957,18 Years,N/A,All
NCT00846365,18 Years,N/A,All
NCT00841672,18 Years,N/A,All
NCT00809926,18 Years,N/A,All
NCT00797316,18 Years,N/A,All
NCT00787605,18 Years,N/A,All
NCT00778921,18 Years,N/A,All
NCT00777946,18 Years,N/A,All
NCT00765674,18 Years,N/A,All
NCT00760266,55 Years,N/A,All
NCT00751829,65 Years,N/A,All
NCT00751751,65 Years,N/A,All
NCT00750113,18 Years,75 Years,All
NCT00739973,18 Years,N/A,All
NCT00706134,65 Years,N/A,All
NCT00705575,18 Years,N/A,All
NCT00698646,70 Years,N/A,All
NCT00699192,65 Years,N/A,All
NCT00696436,18 Years,N/A,All
NCT00696241,18 Years,N/A,All
NCT00687973,18 Years,N/A,All
NCT00649389,18 Years,80 Years,All
NCT00631917,50 Years,N/A,All
NCT00624052,18 Years,N/A,All
NCT00614380,18 Years,N/A,All
NCT00591578,18 Years,N/A,All
NCT00558428,18 Years,N/A,All
NCT00558064,20 Years,N/A,All
NCT00553267,18 Years,N/A,All
NCT00550953,20 Years,N/A,All
NCT00546754,18 Years,75 Years,All
NCT00538486,30 Years,70 Years,All
NCT00529451,18 Years,N/A,All
NCT00500604,18 Years,80 Years,All
NCT00409851,18 Years,N/A,All
NCT00454662,65 Years,84 Years,All
NCT00439738,40 Years,N/A,All
NCT00425997,18 Years,N/A,All
NCT00425373,20 Years,80 Years,All
NCT00413413,18 Years,85 Years,All
NCT00413049,18 Years,85 Years,All
NCT00409760,18 Years,N/A,All
NCT00409643,18 Years,N/A,All
NCT00400777,18 Years,N/A,All
NCT00219037,18 Years,N/A,All
NCT00219024,18 Years,N/A,All
NCT00387517,18 Years,N/A,All
NCT00386139,18 Years,N/A,All
NCT00385931,50 Years,N/A,All
NCT00368277,65 Years,N/A,All
NCT00311740,20 Years,80 Years,All
NCT00353912,18 Years,N/A,All
NCT00350168,18 Years,N/A,All
NCT00344110,20 Years,75 Years,All
NCT00343551,18 Years,N/A,All
NCT00333489,21 Years,70 Years,All
NCT00327145,18 Years,N/A,All
NCT00316095,18 Years,N/A,All
NCT00296218,18 Years,N/A,All
NCT00294710,18 Years,80 Years,All
NCT00281593,18 Years,N/A,All
NCT00281580,18 Years,N/A,All
NCT00280540,18 Years,N/A,All
NCT00277472,18 Years,N/A,All
NCT00274612,18 Years,N/A,All
NCT00274599,19 Years,N/A,All
NCT00273299,18 Years,80 Years,All
NCT00264212,60 Years,90 Years,All
NCT00262236,18 Years,N/A,All
NCT00260923,18 Years,N/A,All
NCT00240474,60 Years,N/A,All
NCT00240448,18 Years,N/A,All
NCT00239369,18 Years,N/A,All
NCT00220233,18 Years,N/A,All
NCT00220220,18 Years,N/A,All
NCT00219193,18 Years,N/A,All
NCT00219180,18 Years,N/A,All
NCT00219167,65 Years,N/A,All
NCT00219154,18 Years,N/A,All
NCT00219141,18 Years,80 Years,All
NCT00219128,18 Years,N/A,All
NCT00219115,18 Years,N/A,All
NCT00219102,18 Years,N/A,All
NCT00219089,18 Years,N/A,All
NCT00219076,18 Years,N/A,All
NCT00219063,18 Years,N/A,All
NCT00190580,20 Years,N/A,All
NCT00185172,18 Years,75 Years,All
NCT00185133,18 Years,N/A,All
NCT00171093,18 Years,75 Years,All
NCT00171002,18 Years,N/A,All
NCT00170989,18 Years,80 Years,All
NCT00170963,18 Years,N/A,All
NCT00170924,45 Years,N/A,All
NCT00168857,21 Years,80 Years,All
NCT00168779,18 Years,N/A,All
NCT00154271,18 Years,75 Years,All
NCT00153023,30 Years,80 Years,All
NCT00151827,18 Years,75 Years,All
NCT00149227,20 Years,79 Years,All
NCT00146341,18 Years,80 Years,All
NCT00134160,65 Years,84 Years,All
NCT00129233,30 Years,75 Years,All
NCT00110422,18 Years,N/A,All
NCT00095550,18 Years,N/A,All
NCT00095394,18 Years,N/A,All
NCT00034840,18 Years,N/A,All
