nct_id,official_title,first_received_date,in_jo,baseline_res,sae_res,source,csr_status
NCT00034840,"A Prospective, Randomized, Double-Blind, Forced Titration Trial to Compare the Efficacy of MICARDISÂ® (Telmisartan 80 mg p.o. Once Daily) and DiovanÂ® (Valsartan 160 mg p.o. Once Daily) Using Ambulatory Blood Pressure Monitoring (ABPM) in Patients With Mild to Moderate Hypertension After Missing One Dose",2002-05-02,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00095394,The Efficacy and Safety of Irbesartan/HCTZ Combination Therapy as First Line Treatment for Severe Hypertension,2004-11-03,TRUE,FALSE,FALSE,Bristol-Myers Squibb,extracted_jo
NCT00095550,The Efficacy and Safety of Irbesartan/HCTZ Combination Therapy as First Line Treatment for Patients With Moderate Hypertension,2004-11-05,FALSE,FALSE,FALSE,Bristol-Myers Squibb,Not searched
NCT00110422,Irbesartan in the Treatment of Hypertensive Patients With Metabolic Syndrome,2005-05-09,FALSE,FALSE,FALSE,Bristol-Myers Squibb,Not searched
NCT00129233,The Novel Antihypertensive Goal Of hYpertension With diAbetes â€• Hypertensive Events and ARb Treatment (NAGOYA-HEART) Study,2005-08-10,FALSE,FALSE,FALSE,Nagoya University,Not searched
NCT00134160,The Study Comparing the Incidence of Cardiovascular Events Between High-dose ARB Monotherapy and Combination Therapy With ARB and Calcium Channel Blocker in Japanese Elderly Hypertensive Patients at High Cardiovascular Risk,2005-08-22,TRUE,FALSE,FALSE,OSCAR Study,extracted_jo
NCT00146341,"An Eight Week Randomized, Double-Blind, Double-Dummy Study Comparing a Fixed Dose Combination of Telmisartan 80mg Plus Hydrochlorothiazide 12.5mg to Telmisartan 80mg in Patients Who Fail to Respond Adequately to Treatment With Telmisartan 80mg.",2005-09-05,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00149227,Add-on Effects of Valsartan on Morbi- Mortality in High Risk Hypertension,2005-09-06,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00151827,Efficacy and Safety of Olmesartan Medoxomil Compared With Losartan in Patients With Hypertension and Mild to Moderate Renal Impairment,2005-09-08,FALSE,FALSE,FALSE,"Daiichi Sankyo, Inc.",No access to CSR
NCT00154271,Effects of Blood Pressure Reduction on High Sensitivity C-Reactive Protein (hsCRP),2005-09-08,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00153023,"A Prospective, Randomised, Double-blind, Double-dummy, Forced-titration, Multicentre, Parallel Group, One Year Treatment Trial to Investigate the Efficacy of Telmisartan 80 mg Versus Valsartan 160 mg in Hypertensive Type 2 Diabetic Patients With Overt Nephropathy VIVALDI-Study",2005-09-09,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00168857,"A Prospective, Randomised, Double-blind, Double-dummy, Forced-titration, Multicentre, Parallel Group, One Year Treatment Trial to Compare MICARDISÂ® (Telmisartan) 80 mg Versus COZAARÂ® (Losartan) 100 mg, in Hypertensive Type 2 Diabetic Patients With Overt Nephropathy (AMADEO Study)",2005-09-09,FALSE,FALSE,FALSE,Boehringer Ingelheim,NO SAE data in CSR summary
NCT00185133,"A Randomized, Double-Blind, Placebo-Controlled Factorial Study Evaluating the Efficacy and Safety of co-Administration of Olmesartan Medoxomil Plus Amlodipine Compared to Monotherapy in Patients With Mild to Severe Hypertension",2005-09-09,TRUE,FALSE,FALSE,"Daiichi Sankyo, Inc.",extracted_jo
NCT00170924,"A Multi-center, Randomized, Placebo-controlled, Double-blind Study to Evaluate the Effect of the Angiotensin II Antagonist Valsartan on Diastolic Function in Patients With Hypertension and Diastolic Dysfunction",2005-09-10,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00170963,Valsartan/Amlodipine 160/5 mg or 160/10 mg Versus Valsartan 160 mg Alone for 8 Weeks in Hypertensive Patients Who Are Not Adequately Controlled on Valsartan 160 mg Monotherapy,2005-09-10,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00170989,Comparison of the Combination of Valsartan 320 mg Plus Hydrochlorothiazide 12.5 mg and Valsartan 320 mg Plus Hydrochlorothiazide 25 mg to Valsartan 320 mg in Mild to Moderate Hypertensive Patients Not Adequately Controlled With Valsartan 320 mg,2005-09-10,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00171002,A Multicenter Trial to Evaluate the Safety and Efficacy of the Combination of Valsartan/Amlodipine 160/10 mg Versus Amlodipine 10 mg Alone for 8 Weeks in Hypertensive Patients Who Are Not Adequately Controlled on Amlodipine 10 mg Monotherapy,2005-09-10,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00171093,"A 10-12 Week Multicenter, Double-blind Study to Evaluate the Efficacy and Safety of the Combination of Valsartan (320 mg) and Simvastatin (80 mg) Compared to Valsartan (320 mg) and Simvastatin (80 mg) Monotherapies in Essential Hypertension and Hypercholesterolemia",2005-09-10,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00190580,Effects of Valsartan on the Progression of Renal and Cardiovascular Disease - Kanagawa Valsartan Trial (KVT),2005-09-11,FALSE,FALSE,FALSE,KVT-Study Group,Not searched
NCT00168779,"A Randomized, Double-blind, Placebo-controlled, Forced-titration, Phase IV Study Comparing Telmisartan 80 mg + Hydrochlorothiazide 25 mg Versus Valsartan 160 mg + Hydrochlorothiazide 25 mg Taken Orally for Eight Weeks in Patients With Stage 1 or Stage 2 Hypertension.",2005-09-12,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00185172,Efficacy and Safety of Olmesartan: Reduction of Blood Pressure in the Treatment of Patients Suffering From Mild to Moderate Essential Hypertension,2005-09-12,TRUE,FALSE,FALSE,"Daiichi Sankyo, Inc.",extracted_jo
NCT00219024,"An 8 Week Double-blind, Multicenter, Randomized, Multifactorial, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy and Safety of Aliskiren Administered Alone and in Combination With Hydrochlorothiazide in Patients With Essential Hypertension",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219037,"A 12 Month, Randomized, Open-label, Multicenter, Study to Assess the Long Term Safety of Aliskiren 150 mg Alone and 300 mg Alone or With the Optional Addition of Hydrochlorothiazide (12.5 mg or 25 mg) in Patients With Essential Hypertension.",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219063,"A 26 Week, Double-blind, Randomized, Multicenter, Parallel Group, Active-controlled Study Comparing Aliskiren to Ramipril With Optional Addition of Hydrochlorothiazide, Followed by a 4 Week Double-blind, Randomized, Placebo-controlled Withdrawal in Patients With Essential Hypertension",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219076,"A Six-week, Randomized, Double-blind, Parallel-group, Multicenter Study to Evaluate the Safety and Efficacy of the Combination of Aliskiren 150 mg and Amlodipine 5 mg Compared to Amlodipine 5 mg and 10 mg in Hypertensive Patients Not Adequately Responsive to Amlodipine 5 mg",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219089,"An Eight-week, Randomized, Double-blind, Parallel Group, Multicenter, Dose Escalation Study to Evaluate the Efficacy and Safety of Aliskiren Administered Alone and in Combination With Ramipril in Patients With Hypertension and Diabetes Mellitus",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219102,"A 12-week, Randomized, Double-blind, Placebo Controlled, Parallel Group Study Evaluating the Efficacy & Safety of Aliskiren in Patients With Diabetes & Hypertension Not Adequately Responsive to the Combination of Valsartan 160 mg & Hydrochlorothiazide 25 mg",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219115,A 12-week Randomized Double-blind Parallel Group Study to Evaluate the Efficacy and Safety of the Combination Aliskiren With HCTZ Compared to Irbesartan or Amlodipine With HCTZ or HCTZ Alone in Hypertensive Patients With BMI â‰¥ 30 kg/m2 Not Adequately Responsive to HCTZ 25 mg,2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219128,"An Eight-week, Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study Comparing Aliskiren 150 mg, 300 mg, and 600 mg to Placebo in Patients With Essential Hypertension",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219141,"A 36-week, Randomized, Double-blind, Multi-center, Parallel Group Study Comparing the Efficacy and Safety of Aliskiren in Combination With Losartan Compared to Losartan on the Regression of Left Ventricular Hypertrophy in Overweight Patients With Essential Hypertension",2005-09-12,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00219154,"A Twenty Six-week, Randomized, Double-blind, Parallel Group, Multicenter, Active Controlled, Dose Titration Study to Evaluate the Efficacy and Safety of Aliskiren Compared to HCTZ With the Optional Addition of Amlodipine, Followed by a Second Twenty Six Weeks of Blinded Treatment, in Patients With Essential Hypertension",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219167,"An 8-week, Randomized, Double-blind, Parallel-group, Multicenter Study Assessing the Efficacy and Safety of Aliskiren 75 mg, 150 mg, and 300 mg in Patients With at Least 65 Years of Age With Essential Hypertension, Using 24-hour ABPM, With Lisinopril 10 mg as a Reference",2005-09-12,TRUE,FALSE,FALSE,Novartis,extracted_jo
NCT00219180,"An 8-week Multi-center, Dose Escalation Study to Evaluate the Efficacy and Safety of Aliskiren (150 mg and 300 mg) Administered Alone and in Combination With Valsartan (160 mg and 320 mg) in Patients With Hypertension",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00219193,"An Eight Week, Multicenter Study to Evaluate Efficacy and Safety of the Triple Combo of Aliskiren /Valsartan/HCTZ (300/320/25 mg), Compared to the Double Combos of Aliskiren/HCTZ (300/25 mg) or Valsartan/HCTZ (320/25 mg) in Patients With Essential Hypertension Not Adequately Responsive to HCTZ 25 mg",2005-09-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00220220,Efficacy and Safety of Amlodipine Used as Add-on Therapy in Moderately to Severely Hypertensive Patients Not Adequately Controlled by Olmesartan Medoxomil 20 mg Monotherapy,2005-09-16,TRUE,FALSE,FALSE,"Daiichi Sankyo, Inc.",extracted_jo
NCT00220233,Add-on Study of Olmesartan Medoxomil in Patients With Moderate to Severe Hypertension Not Achieving Target Blood Pressure on Amlodipine 5 mg Alone,2005-09-16,FALSE,FALSE,FALSE,"Daiichi Sankyo, Inc.",Got CSR summary
NCT00239369,A Prospective Randomised Study to Compare a Fixed Dose Combination of Telmisartan 80 mg Plus Hydrochlorothiazide 25 mg With a Fixed Dose Combination of Telmisartan 80 mg Plus Hydrochlorothiazide 12.5 mg in Patients With Uncontrolled Hypertension Who Fail to Respond Adequately to Treatment With a Fixed Dose Combination of Telmisartan 80 mg Plus Hydrochlorothiazide 12.5 mg,2005-10-13,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00240448,"A Randomised, Double-blind, Double-dummy, Placebo-controlled, Forced-titration, Comparison of MICARDISÂ® HCT (Telmisartan 80 mg / Hydrochlorothiazide 25 mg) Versus DIOVANÂ® HCT (Valsartan 160 mg / Hydrochlorothiazide 25 mg) Using Seated Trough Cuff Blood Pressure in Patients With Stage 1 and Stage 2 Hypertension",2005-10-14,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00240474,"A Comparison of Telmisartan 80 mg + Hydrochlorothiazide 12.5 mg With Amlodipine 10 mg + Hydrochlorothiazide 12.5 mg in the Control of Blood Pressure in Older Patients With Predominantly Systolic Hypertension. A Prospective, Randomised, Open-label, Blinded End-point Evaluation. (ATHOS Study)",2005-10-14,TRUE,FALSE,FALSE,Boehringer Ingelheim,extracted_jo
NCT00260923,"A Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study Comparing an Eight-week Treatment of Aliskiren 75 mg, 150 mg and 300 mg to Placebo in Patients With Essential Hypertension",2005-11-30,TRUE,FALSE,FALSE,Novartis,extracted_jo
NCT00262236,"A Twelve-week, Randomized, Double-blind, Parallel-group, Multicenter, Dose Escalation Study to Evaluate the Efficacy and Safety of Aliskiren Administered Alone and in Combination With Atenolol in Patients With Essential Hypertension",2005-12-02,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00264212,A Multicentre Prospective Randomized Open-Label 12-Week Study With Blinded Evaluation Comparing the Efficacy and Safety of Irbesartan and Irbesartan-Hydrochlorothiazide Fixed Combination With Amlodipine and Amlodipine Plus Hydrochlorothiazide in Elderly Patients With Isolated Systolic Hypertension,2005-12-09,TRUE,FALSE,FALSE,Sanofi,extracted_jo
NCT00273299,A 6-Week Study to Evaluate the Combination of Valsartan/HCTZ (160/12.5mg With Forced Titration to Maximum Dose of 320/25mg) Compared to Valsartan Monotherapy (160mg With Forced Titration to 320mg) as Initial Therapy in Patients With Severe Hypertension,2006-01-04,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00274599,"A Prospective, Randomised, Open-Label, Blinded-Endpoint, Parallel Group, Multicentre, Forced-Titration, 14-Week Treatment Study Comparing MICARDISÂ® (Telmisartan 40-80-80 mg, QD) and ALTACEÂ® (Ramipril 2.5-5-10 mg, QD) in Patients With Mild-to-Moderate Hypertension Using Ambulatory Blood Pressure Monitoring",2006-01-10,TRUE,FALSE,FALSE,Boehringer Ingelheim,extracted_jo
NCT00274612,A Prospective Randomised Open- Label Blinded-Endpoint (PROBE) Trial Comparing Telmisartan (MICARDISÂ®) (40-80-80mg QD) and Ramipril (2.5-5--10mg QD) in Patients With Mild-to-Moderate Hypertension Using Ambulatory Blood Pressure Monitoring. PRISMA = Prospective Randomised Investigation of the Safety and Efficacy of MicardisÂ® vs Ramipril Using ABPM,2006-01-10,TRUE,FALSE,FALSE,Boehringer Ingelheim,extracted_jo
NCT00277472,"A 28-week, Multicenter Study to Evaluate the Effects of Valsartan/Hydrochlorothiazide (160/12.5 mg) in Comparison With Hydrochlorothiazide (25 mg) Monotherapy, for the Treatment of Patients With Hypertension, Uncontrolled by Hydrochlorothiazide (12.5 mg) Monotherapy",2006-01-12,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00280540,"A 6-week Treatment Regimen Study to Evaluate the Efficacy of Initial High Dose Valsartan Monotherapy (160 mg) or Combo Therapy (Valsartan + Hydrochlorothiazide, 160/12.5 mg) to Conventional Low-dose Valsartan Monotherapy (80 mg) in Managing Patients With Hypertension",2006-01-19,TRUE,FALSE,FALSE,Novartis,extracted_jo
NCT00281580,"A Randomized, Double-blind, Double-dummy, Placebo-controlled, 4x4 Factorial Design Trial to Evaluate Telmisartan 20, 40 and 80 mg Tablets in Combination With Amlodipine 2.5, 5 and 10 mg Capsules After Eight Weeks of Treatment in Patients With Stage I or II Hypertension, With an ABPM Sub-study",2006-01-24,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00281593,"A Randomized, Double-blind, Double-dummy, Placebo-controlled, 3x4 Factorial Design Trial to Evaluate Telmisartan 20 and 80 mg Tablets in Combination With Ramipril 1.25, 10, and 20 mg Capsules After Eight Weeks of Treatment in Patients With Stage I or II Hypertension, With an ABPM Sub-study",2006-01-24,FALSE,FALSE,FALSE,Boehringer Ingelheim,No CSR
NCT00294710,"A Twenty Six-week, Dose Titration Study to Evaluate the Efficacy and Safety of Aliskiren Compared to HCTZ With the Optional Addition of Amlodipine, Followed by a Second Twenty Six Weeks of Blinded Treatment, in Patients With Essential Hypertension",2006-02-18,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00296218,Randomized Comparison of a Two-month Regimen of Irbesartan Versus Enalapril on Cardiovascular Markers in Patients With Acute Coronary Syndrome Without ST Segment Elevation.,2006-02-22,FALSE,FALSE,FALSE,Sanofi,Got CSR summary
NCT00311740,"A Multi-center, Factorial Study to Evaluate Efficacy & Safety of 8 Wks Treatment With VAH631 [Valsartan (40 & 80 mg) and Hydrochlorothiazide (6.25 & 12.5 mg) Combined & Alone in Essential Hypertensive Patients] - Double-blind Study of VAH631 in Patients With Essential Hypertension (Factorial Study)",2006-04-04,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00316095,"Reduced Factorial Design, Randomized, Double Blind Trial Comparing Combinations of Telmisartan 20 or 80 mg and Simvastatin 20 or 40 mg With Single Component Therapies in the Treatment of Hypertension and Dyslipidemia",2006-04-19,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00327145,"A Double-blind, Randomized, Multicenter Study to Evaluate the Effectiveness of the Combination of Valsartan & Amlodipine in Hypertensive Patients Not Controlled on Monotherapy",2006-05-16,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00333489,"A National, Multicentric and Comparative Study to Evaluate Efficacy and Tolerability of the Association of Valsartan and Amlodipine Versus Amlodipine Alone in the Treatment of Essential Arterial Hypertension - Stages I and II (Mild to Moderate).",2006-06-01,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00343551,"A Nine-week, Randomized, Double-blind, Parallel Group Study to Evaluate the Efficacy and Safety of Aliskiren 300 mg Compared to Irbesartan 300 mg and Ramipril 10 mg in the Setting of a Missed Dose in Patients With Essential Hypertension",2006-06-22,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00344110,"A Randomized, Double-blind, Placebo and Active-controlled, Multicenter, Parallel-group Study Comparing SPP100 (Aliskiren) 150mg to Placebo and to Losartan 50mg to Evaluate Efficacy, Safety and Pharmacokinetics in Patients With Mild to Moderate Essential Hypertension",2006-06-22,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00350168,An 8-week Multicenter Study to Evaluate the Efficacy and Safety of Orally Administered Valsartan/Amlodipine Combination Based Therapy Versus Amlodipine Monotherapy in Patients With Stage II Hypertension,2006-07-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00353912,"A 12-week, Multicenter Study to Evaluate the Efficacy and Safety of Orally Administered Valsartan/Amlodipine Combo Based Therapy vs Amlodipine Monotherapy in Black Patients With Stage II Hypertension",2006-07-17,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00368277,"A 36 Week Randomized, Double-blind, Parallel Group, Multi-center, Active-controlled, Optional Titration Study Comparing an Aliskiren-based Regimen to a Ramipril-based Regimen in Patients â‰¥ 65 Years Old With Systolic Essential Hypertension",2006-08-22,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00385931,"A Multi-centre Study to Evaluate the Effects of Valsartan and the Combination of Valsartan and Simvastatin on Blood Pressure (Ambulatory and Std Cuff) and on Biochemical Markers of Endothelial Function (hsCRP, MCP-1, Serum F2 Isoprostanes, PAI-1, tPA, PICP, PIIINP, MMP9, MMP1, TIMP 1), Safety and Tolerability",2006-10-09,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00386139,An Eight-week Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / HCTZ (300/12.5 mg and 300/25 mg) in Comparison With Aliskiren 300 mg in Patients With Essential Hypertension Not Adequately Responsive to Aliskiren 300 mg Monotherapy,2006-10-09,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00387517,An Eight-week Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / HCTZ (150/25 mg and 300/25 mg) in Comparison With HCTZ 25 mg in Patients With Essential Hypertension Not Adequately Responsive to HCTZ 25 mg Monotherapy,2006-10-11,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00400777,"An Open-Label, Randomized, Multicenter Study to Evaluate the Efficacy of the Combination of Valsartan and Hydrochlorothiazide and Amlodipine in Hypertensive Patients Not Controlled With Valsartan and Hydrochlorothiazide",2006-11-15,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00409643,"A Randomized, Double-blind, Multicenter, Multifactorial, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Valsartan (160 mg and 320 mg) and Amlodipine (10 mg) Combined and Alone in Hypertensive Patients",2006-12-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00409760,"A Randomized, Double-blind, Multicenter, Multifactorial, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Valsartan and Amlodipine Combined and Alone in Hypertensive Patients.",2006-12-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00409851,"A 52 Week, Open Label Extension to the Randomized, Double-blind, Multicenter, Multifactorial, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Valsartan and Amlodipine Combined and Alone in Hypertensive Patients.",2006-12-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00413049,"A Multi-national, Multicenter, Double-blind, Double-dummy, Randomized, Active-controlled, Parallel Study Comparing the Efficacy and Safety of Valsartan/Amlodipine 80/5 mg to Amlodipine 5 mg Alone Once Daily in Patients With Mild to Moderate Essential Hypertension Not Adequately Controlled With Amlodipine 5 mg Monotherapy",2006-12-18,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00413413,"A Multi-national, Multicenter, Double-blind, Double-dummy, Randomized, Active-controled, Parallel Study, Comparing Efficacy and Safety of Valsartan/Amlodipine 80/5 mg to Valsartan 80 mg and Valsartan 160 mg Alone Once Daily in Patients With Mild to Moderate Essential Hypertension Not Adequately Controlled With Valsartan 80 mg Monotherapy.",2006-12-18,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00425373,"A Multi-center, Randomized, Double-blind, Parallel-group, Placebo-controlled, Factorial Study to Evaluate the Efficacy and Safety of 8-week Treatment With Valsartan (40 and 80 mg) and Amlodipine (2.5 and 5 mg) Combined and Alone in Essential Hypertensive Patients",2007-01-22,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00425997,"A 10-week Multicenter,Forced-titration Study Using 24-hr ABPM to Evaluate the Efficacy of Valsartan/Hydrochlorothiazide (HCTZ) Treatment Regimen vs Conventional Treatment Regimen With Amlodipine and Hydrochlorothiazide (HCTZ) in Patients With Stage 2 Hypertension",2007-01-23,TRUE,FALSE,FALSE,Novartis,extracted_jo
NCT00439738,"A 16-week Double-blind, Randomized, Multicenter, Force-titration Study to Evaluate the Antihypertensive Efficacy of Valsartan/Hydrochlorothiazide (HCTZ) Therapy Compared to HCTZ Based Therapy in Obese, Hypertensive Patients",2007-02-23,FALSE,TRUE,FALSE,Novartis,Got CSR summary
NCT00454662,Combination of OLMesartan and Calcium Channel Blocker or Low Dose Diuretics in High Risk Elderly Hypertensive Patients Study (COLM-Study),2007-03-30,TRUE,FALSE,FALSE,NA,extracted_jo
NCT00500604,A Comparative Study of the Efficacy of Irbesartan/Hydrochlorothiazide 300/25 mg Versus Valsartan/Hydrochlorothiazide 160/25 mg Using Home Blood Pressure Monitoring in the Treatment of Mild to Moderate Hypertension,2007-07-11,TRUE,FALSE,FALSE,Sanofi,extracted_jo
NCT00529451,"An Eight Week, Double-blind, Randomized, Multicenter, Parallel Group, Active-controlled Study Comparing the Safety and Efficacy of Aliskiren 300 mg, 150 mg and 75 mg to Ramipril 5 mg in Patients With Essential Hypertension",2007-09-12,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00538486,"Which is the Best Treatment for Non-diabetic Hypertension With Obesity: Telmisartan, Amlodipine or Candesartan, Alone or Plus MEtformin? (HOT-ACME 1)",2007-10-01,FALSE,FALSE,FALSE,Third Military Medical University,Not searched
NCT00553267,"An Eight-week Randomised, Double-blind Study to Compare the Fixed-dose Combination of Telmisartan 40mg + Amlodipine 10mg Versus Telmisartan 80mg + Amlodipine 10mg Versus Amlodipine 10mg Monotherapy in Patients With Hypertension Who Fail to Respond Adequately to Treatment With Amlodipine 10mg Monotherapy",2007-10-08,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00546754,"BP-EASE-A 12-Week, Multicenter, Open-Label, Randomized, Controlled Trial To Compare The Effectiveness of Losartan 50 mg/HCTZ 12.5 mg Titrated as Needed to Losartan 100 mg/HCTZ 25 mg or Valsartan 160 mg/HCTZ 25 mg, in Patients With Essential Hypertension Who Have Not Achieved Target Blood Pressure With",2007-10-17,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00550953,Filtered Trial for Telmisartan 40mg Non-responder,2007-10-26,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
